Ship,Class,Type,First commissioned,Fate,Country or organization,Displacement (tons)
Empire MacRae,Empire,merchant aircraft carrier,20 September 1943,"Returned to merchant service 1947, renamed Alpha Zambesi",Royal Navy,"8,000"
Empress,Ruler,escort carrier,09 August 1943,"paid off 28 March 1946, scrapped 1946",Royal Navy,"7,800"
Endicott,Gleaves,destroyer,25 February 1943,"decommissioned 1955, scrapped 1970",United States,"1,630"
England,Buckley,destroyer escort,10 December 1943,"sold and broken up, 26 November 1946",United States,"1,400"
Enrico Tazzoli,Calvi,submarine,21 June 1940,was sunk by aircraft in the Bay of Biscay on 23 May 1943,Regia Marina,"1,549"
Enrico Toti,Balilla,submarine,14 April 1928,Used as pontoon and broken up in 1946,Regia Marina,"1,450"
Enterprise,Emerald,light cruiser,07 April 1926,scrapped April 1946,Royal Navy,"7,580"
Enterprise,Yorktown,aircraft carrier,12 May 1938,"decommissioned 1947,scrapped 1959",United States,"25,100"
Entre Rios,Buenos Aires,destroyer,,,Argentina,"1,375"
Erebus,Erebus,monitor,02 September 1916,Scrapped July 1946,Royal Navy,"8,000"
Erica,Flower,corvette,09 August 1940,sunk 9 February 1943,Royal Navy,925
Ericsson,Gleaves,destroyer,13 March 1941,"decommissioned 1946, sunk as target 1970",United States,"1,630"
Eridano,Ariete,torpedo boat,12 July 1943,Sunk 18 March 1945 in the Battle of the Ligurian Sea by the British destroyers HMS Lookout and HMS Meteor.,Regia Marina,745
Eridge,Hunt,destroyer escort,28 February 1941,scrapped 1946,Royal Navy,"1,050"
Eritrea,,sloop,01 January 1937,"ceded to France 1948, renamed  Francis Garnier, expended as target 1966",Regia Marina,"2,200"
Eskdale,Hunt,destroyer escort,31 July 1942,sunk 14 April 1943,Royal Norwegian Navy,"1,050"
Eskimo,Tribal,destroyer,30 December 1938,scrapped 1949,Royal Navy,"2,020"
Espero,Sauro,destroyer,31 August 1927,Sunk by HMAS Sydney off Tobruk during a troop transport mission to Tobruk.,Regia Marina,"1,058"
Essex,Essex,aircraft carrier,31 December 1942,"decommissioned 30 June 1969, scrapped 1975",United States,"30,800"
Ettore Fieramosca,Fieramosca,submarine,1 January 1930,suffered a battery explosion late in 1940 and was decommissioned in April 1941; eventually she was stricken and scrapped.,Regia Marina,"1,530"
Ettrick,River,frigate,11 July 1943,"to Canada 29 January 1944, paid off 30 May 1945",Royal Navy,"1,445"
Eugenio di Savoia,Duca d'Aosta,light cruiser,16 January 1936,"ceded to Greece 1950, renamed  Elli, scrapped 1973",Regia Marina,"8,750"
Euro,Sauro,destroyer,07 July 1927,"Sunk by German aircraft off Leros, Greece.",Regia Marina,"1,058"
Evangelista Torricelli,Archimede,submarine,27 March 1934,"She torpedoed and disabled the Republican Almirante Cervera-class cruiser Miguel de Cervantes in 1936, still under Italian flag as Torricelli. Transferred to the Spanish nationalist navy in April 1937, renamed General Sanjurjo. She sank the Republican troop transport Ciudad de Barcelona on 30 May 1937 and the British Endymion near the position 37°19′3″N 1°3′16″W on 21 January 1938. Involved in an incident with HMS Torbay on 7 February 1943, during WWII, after the British submarine misidentified her as Italian. Stricken in 1959",Regia Marina,986
Evertsen,Admiralen,destroyer,12 April 1928,"Destroyed, 1 March 1942",Royal Netherlands Navy,"1,337"
Exeter,York,heavy cruiser,23 July 1931,sunk 1 March 1942,Royal Navy,"8,390"
Exmoor (I),Hunt,destroyer escort,18 October 1940,"sunk by E-boat S-30, 25 February 1941.",Royal Navy,"1,000"
Exmoor (II),Hunt,destroyer escort,18 October 1941,Decommissioned on 1/11/1945. For sale 1953. Sold to Denmark,Royal Navy,"1,050"
Express,E,destroyer,29 May 1934,"Transferred to RCN June 1943 as HMCS Gatineau, paid off 1955",Royal Navy,"1,405"
Eyebright,Flower,corvette,26 November 1940,"to Canada 15 May 1941, paid off 17 June 1945",Royal Navy,925
Falke,1923 Raubvogel,torpedo boat,15 August 1927,"Sunk by aircraft, 14/15 June 1944",Kriegsmarine,"1,290"
Fall River,Baltimore class,heavy cruiser,01 July 1945,"decommissioned 1947, scrapped 1972",United States,"17,200"
Fanning,Mahan,destroyer,08 October 1937,scrapped 1948,United States,"1,450"
Fanshaw Bay,Casablanca,escort carrier,09 December 1943,"decommissioned 14 August 1946, scrapped 1959",United States,"7,800"
Farenholt,Benson,destroyer,02 April 1942,"decommissioned 1946, scrapped 1972",United States,"1,620"
Farndale,Hunt,destroyer escort,27 April 1941,scrapped 1962,Royal Navy,"1,050"
Farragut,Farragut,destroyer,18 June 1934,scrapped 1947,United States,"1,365"
Fencer,Attacker,escort carrier,20 February 1943,"paid off 21 December 1945, sold as a merchant ship; scrapped 1975",Royal Navy,"14,400"
Fennel,Flower,corvette,16 January 1941,"to Canada 15 May 1941, paid off 12 June 1945",Royal Navy,925
Fergus,Flower modified,corvette,18 November 1944,Sold in 1945 as mercantile Camco II. Resold in 1948 as Hartcourt Kent. Wrecked in 1949.,Royal Canadian Navy,"1,015"
Fernie,Hunt,destroyer escort,29 May 1940,paid off 1947,Royal Navy,"1,000"
Ferro,Flutto,submarine,,"unfinished at armistice, continued by Germans as UIT 12 destroyed unfinished May 1945",Regia Marina,930
Fidelity,,Special Service Ship,24 September 1940,sunk 30 December 1942,Royal Navy,"2,456"
Fiji,Crown Colony-class (Fiji Group),light cruiser,05 May 1940,sunk 22 May 1941,Royal Navy,"8,000"
Finisterre,Battle,destroyer,11 September 1945,"paid off 1965, scrapped 1967",Royal Navy,"2,325"
Fionda,Ariete,torpedo boat,,"Lost 20 February 1945 in Fiume, when still under construction. Scrapped after the war.",Regia Marina,745
Fisalia,Argonauta,submarine,2 May 1931,"Sunk by HMS Hyacinth, 28 September 1941",Regia Marina,660
Fitch,Gleaves,destroyer,03 February 1942,"decommissioned 1956, sunk as target 1973",United States,"1,630"
Fiume,Zara,heavy cruiser,01 January 1931,sunk 29 March 1941,Regia Marina,"11,500"
Fletcher,Fletcher,destroyer,30 June 1942,"Decommissioned 1 August 1969, scrapped 1972",United States,"2,100"
Fleur de Lys,Flower,corvette,26 August 1940,"Launched as La Dieppoise for the French Navy. Completed for RN after the Fall of France. Torpedoed and sunk by U-206 west of Gibraltar at 36-00N, 06-30W. There were 3 survivors.",Royal Navy,925
Flores,Flores,sloop,25 March 1926,scrapped November 1968,Netherlands,"1,457"
Flusser,Mahan,destroyer,01 October 1936,scrapped 1948,United States,"1,450"
Flutto,Flutto,submarine,19 November 1942,sunk 11.7.43 by British MTBs,Regia Marina,930
Foca,Foca,submarine,6 November 1937,"Lost in October 1940 off Haifa, British Palestine",Regia Marina,"1,326"
Foch,Suffren,heavy cruiser,15 August 1931,scuttled 27 November 1942,French Navy,"10,000"
Folgore,Folgore,destroyer,01 July 1932,,Regia Marina,"1,225"
Folkestone,Folkestone,sloop,25 June 1940,scrapped 22 May 1947,Royal Navy,"1,045"
Formidable,Illustrious,aircraft carrier,24 November 1940,scrapped 1953,Royal Navy,"23,000"
Forrest,Gleaves,destroyer,13 January 1942,scrapped 1946,United States,"1,630"
Forrest Hill,Flower modified,corvette,01 December 1943,Formerly Ceanothos. Transferred to RCN before completion.,Royal Canadian Navy,"1,015"
Fort Erie,River,frigate,27 October 1944,paid off 26 March 1965,Royal Canadian Navy,"1,445"
Fortunale,Ciclone,torpedo boat,18 April 1942,"Sank submarine HMS P222 on 12 December 1942. Reparation to the USSR, 1949 as destroyer Liotny (Лётный), sunk as target ship 1959",Regia Marina,910
Fortune,F,destroyer,27 April 1935,"to Canada as Saskatchewan 31 May 1943, mined 21 June 1944",Royal Navy,"1,405"
Foxhound,V,destroyer,06 June 1935,"Transferred to RCN 8 February 1944 as HMCS Qu'Appelle, paid off 26 May 1946",Royal Navy,"1,405"
Francesco Crispi ,Sella,destroyer,30 October 1943,"Captured by the Germans, 9 September 1943",Regia Marina,970
Francesco Nullo,Rosolino Pilo,torpedo boat,01 May 1915,Renamed Fratelli Cairoli 16 January 1921. Sunk by mine off Libya 23 September 1940.,Regia Marina,912
Francesco Nullo,Sauro,destroyer,15 April 1927,"Destroyed by aircraft, 21 October 1940",Regia Marina,"1,058"
Frankford,Gleaves,destroyer,31 March 1943,"decommissioned 1946, sunk as target 1973",United States,"1,630"
Franklin,Essex,aircraft carrier,31 January 1944,"Decommissioned 17 February 1947, scrapped 1964",United States,"30,800"
Fraser,C,destroyer,17 February 1937,sunk in a collision 25 June 1940,Royal Canadian Navy,"1,375"
Fratelli Bandiera,Bandiera,submarine,7 August 1929,"Discarded, 1 February 1948",Regia Marina,940
Frazier,Benson,destroyer,30 July 1942,"decommissioned 1946, scrapped 1972",United States,"1,620"
Freccia,Freccia,destroyer,21 October 1931,"Sunk by aircraft, 8 August 1943",Regia Marina,"1,225"
Frederick C. Davis,Edsall,destroyer escort,14 July 1943,sunk 24 April 1945,United States,"1,200"
Fredericton,Flower,corvette,08 December 1941,paid off 14 July 1945,Royal Canadian Navy,925
Freesia,Flower,corvette,19 November 1940,Sold on 22 July 1946 as mercantile Freelock. Sunk on 1 April 1947.,Royal Navy,925
Fresia,H,submarine,01 January 1917,scrapped 1945,Chile,441
Fridtjof Nansen,,patrol ship,29 May 1931,ran aground and sank 8 November 1940,Norway,"1,575"
Fritillary,Flower,corvette,01 November 1941,Sold on 19 March 1946. Resold in 1947 as mercantile Andria and in 1949 as mercantile V.D. Chidambaram. Scrapped in 1955 in India.,Royal Navy,925
Frobisher,Hawkins,heavy cruiser,20 September 1924,"sold for scrap March 26th, 1949",Royal Navy,"9,750"
Frome,River,frigate,03 March 1944,"to Free French 3 March 1944 as Escarmouche, paid off 1960",Royal Navy,"1,370"
Frontenac,Flower modified,corvette,26 October 1943,Sold in October 1945 to United Ship Corporation.,Royal Canadian Navy,"1,015"
Fubuki,Fubuki,destroyer,10 August 1928,sunk 11 October 1942,Imperial Japanese Navy,1.75
Fuciliere,Soldati,destroyer,10 January 1939,"Survived the war, given to the Soviet Navy as war reparations, serving as Lyogky (Russian: Лёгкий). Retired 1960.",Regia Marina,"1,850"
Fujinami,Yūgumo,destroyer,31 July 1943,sunk 10 January 1945,Imperial Japanese Navy,2.52
Fulmine,Folgore,destroyer,04 September 1932,"Sunk by gunfire, 9 November 1941",Regia Marina,"1,225"
Fumizuki,Mutsuki,destroyer,03 July 1926,sunk 18 February 1944,Imperial Japanese Navy,1.315
Furious,Glorious,aircraft carrier,14 October 1917,scrapped 1948,Royal Navy,"22,400"
Furutaka,Furutaka class,heavy cruiser,31 March 1926,sunk 20 December 1942,Imperial Japanese Navy,9.15
Fury,F,destroyer,10 September 1934,"mined 21 June 1944, not repaired",Royal Navy,"1,405"
Fusō,Fusō,dreadnought,18 November 1915,sunk 25 October 1944,Imperial Japanese Navy,"34,700"
Fuyutsuki,Akizuki,destroyer,30 April 1944,scrapped and converted to breakwater 1948,Imperial Japanese Navy,"2,700"
Gabbard,Battle,destroyer,10 December 1946,paid off 1953,Royal Navy,"2,325"
Gadila,Rapana,merchant aircraft carrier,01 January 1944,returned to merchant service 1946; scrapped 1958,Netherlands,"8,000"
Galatea,Sirena,submarine,5 October 1933,"Struck, 1 February 1948",Regia Marina,691
Galileo Ferraris,Archimede,submarine,11 August 1934,Sunk 25 October 1941 off Gibraltar by the combined action of a RAF PBY-5A Catalina flying boat and the destroyer HMS Lamerton at the position 37°07′0″N 14°19′0″W,Regia Marina,986
Galileo Galilei,Archimede,submarine,19 March 1934,"On 16 June 1940, she sank the Norwegian tanker James Stove off Aden, in the Red Sea. Captured two days later by the British armed trawler HMS Moonstone. Commissioned into the Royal Navy as HMS X2, scrapped in 1946",Regia Marina,986
Gallant,G,destroyer,25 February 1936,"sunk as a blockship September 1943, scrapped 1953",Royal Navy,"1,335"
Galt,Flower,corvette,15 May 1941,paid off 21 June 1945,Royal Canadian Navy,925
Galvani,Brin,submarine,22 May 1938,Sunk by British sloop HMS Falmouth near Persian Gulf 26 June 1940,Regia Marina,"1,000"
Gambia,Crown Colony-class (Fiji Group),light cruiser,21 February 1942,scrapped 1968,Royal Navy,"8,000"
Gambier Bay,Casablanca,escort carrier,28 December 1943,Sunk 25 October 1944,United States,"7,800"
Gamble,Wickes,minelayer destroyer,29 November 1918,"Damaged 17 February 1945, scuttled 16 July 1945.",United States,"1,090"
Gansevoort,Benson,destroyer,25 August 1942,"decommissioned 1946, sunk as target 1972",United States,"1,620"
Gardenia,Flower,corvette,24 May 1940,"Rammed and sunk off Oran at 35-49N, 01-05W in collision with HMS Fluellen.",Royal Navy,925
Garland,G,destroyer,03 March 1936,"to Poland 3 May 1940, paid off 24 September 1946",Royal Navy,"1,335"
Garth,Hunt,destroyer escort,28 August 1940,scrapped 1958,Royal Navy,"1,000"
Gato,Gato,submarine,31 December 1941,Scrapped 25 July 1960,United States,"1,525"
Gemma,Perla,submarine,8 October 1940,Sunk in error by Italian submarine Tricheco,Regia Marina,695
General Belgrano,Garibaldi class,cruiser,,Stricken 8 May 1947,Argentina,"6,100"
General Pueyrredon,Garibaldi class,cruiser,,Stricken 2 August 1954,Argentina,"6,100"
Generale Achille Papa,Generali,torpedo boat,08 December 1921,"Captured by the Germans, Sunk 25 April 1945",Regia Marina,832
Generale Antonio Cantore,Generali,torpedo boat,23 April 1921,"Sunk by a mine off Ras el Tin Libya, 22 August 1942",Regia Marina,832
Generale Antonio Cascino,Generali,torpedo boat,18 March 1922,Scuttled 9 September 1943,Regia Marina,832
Generale Antonio Chinotto,Generali,torpedo boat,07 August 1921,"Sunk by Mines off Palermo, 28 March 1941",Regia Marina,832
Generale Carlo Montanari,Generali,torpedo boat,04 October 1922,Scuttled 25 April 1944,Regia Marina,832
Generale Marcello Prestinari,Generali,torpedo boat,04 July 1922,"Sunk by a mine near Sicily, 31 January 1943",Regia Marina,832
Geniere,Soldati,destroyer,14 December 1938,Sunk 1 March 1943 by USAAF bombing while in drydock in Palermo.,Regia Marina,"1,850"
Genista,Flower,corvette,08 December 1941,Sold in 1947 as weather ship Weather Recorder. Scrapped in 1961.,Royal Navy,925
Gentian,Flower,corvette,20 September 1940,Scrapped on 21 August 1947 at Purfleet.,Royal Navy,925
George Leygues,La Galissonnière class,light cruiser,15 November 1937,scrapped 1959,French Navy,"7,600"
Georgetown,Town,destroyer,23 September 1940,"to Canada Sept 1942, to USSR as Doblestny 10 August 1944",Royal Navy,"1,200"
Georgios Averof,Pisa,armored cruiser,16 May 1911,"Decommissioned 1952, museum ship",Hellenic Navy,"9,450"
Geranium,Flower,corvette,24 June 1940,Shared sinking of U-306 31 October 43. Transferred on 8 September 1945 to Royal Danish Navy as Thetis.,Royal Navy,925
Gherardi,Gleaves,destroyer,15 September 1942,"decommissioned 1955, sunk as target 1973",United States,"1,630"
Ghibli,Ciclone,torpedo boat,28 February 1943,"Seized by the Germans in September 1943, but not repaired. Scuttled in La Spezia 25 April 1945",Regia Marina,910
Giada,Acciaio,submarine,10 July 1941,surrendered at armistice Sept 1943,Regia Marina,697
Giffard,Flower modified,corvette,10 November 1943,Formerly Buddleia. Scrapped in October 1952 in Canada.,Royal Canadian Navy,"1,015"
Gillespie,Benson,destroyer,18 September 1942,"decommissioned 1946, sunk as target 1973",United States,"1,620"
Giosué Carducci,Oriani,destroyer,01 November 1937,Sunk 28 March 1941 in the Battle of Cape Matapan,Regia Marina,"1,700"
Giovanni da Procida,Mameli,submarine,2 January 1929,"Sunk by HMS Rorqual, 31 March 1942",Regia Marina,823
Giovanni da Verrazzano,Navigatori ,destroyer,25 September 1930,"On 3 July 1942, while escorting three freighters from Taranto to Benghazi she shot down two Beaufort bombers along with the destroyers Euro and Turbine. Sunk 19 October 1942 by the British submarine HMS Unbending while escorting a convoy from Napoli to Tripoli, 20 killed and 255 survivors.",Regia Marina,"1,900"
Giovanni dalle Bande Nere,Giussano,light cruiser,10 February 1932,Sunk 19 July 1940,Regia Marina,"6,954"
Giovanni Nicotera ,Sella,destroyer,08 January 1927,"Sold to Sweden, 1940",Regia Marina,970
Gipsy,G,destroyer,22 February 1936,sunk 21 November 1939,Royal Navy,"1,350"
Giulio Cesare,Conte di Cavour,dreadnought,10 May 1914,"Ceded to Soviet Union 1948, renamed Novorossiysk",Regia Marina,"26,140"
Giuseppe Cesare Abba,Rosolino Pilo,torpedo boat,06 July 1915,Stricken September 1958,Regia Marina,912
Giuseppe Finzi,Calvi,submarine,5 June 1940, scuttled at Le Verdon-sur-Mer on 25 August 1944 to prevent her capture by advancing Allied forces.,Regia Marina,"1,549"
Giuseppe Garibaldi,Duca degli Abruzzi class,light cruiser,01 January 1937,scrapped 1972,Regia Marina,"9,195"
Giuseppe Miraglia,Giuseppe Miraglia,seaplane tender,11 January 1927,decommissioned 15 July 1950,Regia Marina,"4,965"
Giuseppe Missori,Rosolino Pilo,torpedo boat,07 March 1916,"Captured by Germany 10 September 1943, renamed TA22. Scuttled 3 May 1945.",Regia Marina,912
Glace Bay,River,frigate,02 September 1944,paid off 17 November 1945,Royal Canadian Navy,"1,445"
Gladio,Ariete,torpedo boat,15 June 1943,Badly damaged by French destroyers Le Terrible and Le Malin in at the Battle of Ist in February 1944. Sunk 7 October 1944.,Regia Marina,745
